Product_ID,Region,Stock_Quantity,Reorder_Level
P0001,West,157,33
P0001,South,7,22
P0001,North,106,14
P0001,East,70,15
P0002,West,190,31
P0002,South,78,39
P0002,North,183,46
P0002,East,94,29
P0003,West,172,14
P0003,South,164,21
P0003,North,166,39
P0003,East,76,12
P0004,West,201,20
P0004,South,200,39
P0004,North,92,39
P0004,East,173,47
P0005,West,153,43
P0005,South,122,11
P0005,North,134,45
P0005,East,167,45
P0006,West,218,23
P0006,South,83,35
P0006,North,74,44
P0006,East,120,35
P0007,West,68,44
P0007,South,74,25
P0007,North,136,42
P0007,East,4,31
P0008,West,119,29
P0008,South,29,43
P0008,North,127,19
P0008,East,31,46
P0009,West,16,33
P0009,South,230,12
P0009,North,11,35
P0009,East,169,46
P0010,West,173,21
P0010,South,154,42
P0010,North,6,23
P0010,East,175,47
P0011,West,137,36
P0011,South,107,18
P0011,North,173,43
P0011,East,81,38
P0012,West,118,38
P0012,South,120,39
P0012,North,85,22
P0012,East,172,25
P0013,West,167,41
P0013,South,94,35
P0013,North,105,28
P0013,East,174,43
P0014,West,187,15
P0014,South,74,44
P0014,North,21,46
P0014,East,143,22
P0015,West,85,35
P0015,South,214,22
P0015,North,22,41
P0015,East,239,41
P0016,West,155,47
P0016,South,231,42
P0016,North,221,35
P0016,East,169,26
P0017,West,129,38
P0017,South,161,47
P0017,North,11,47
P0017,East,90,30
P0018,West,194,49
P0018,South,176,46
P0018,North,51,35
P0018,East,109,14
P0019,West,45,29
P0019,South,106,17
P0019,North,156,37
P0019,East,191,11
P0020,West,229,11
P0020,South,170,47
P0020,North,137,32
P0020,East,210,37
P0021,West,127,37
P0021,South,1,40
P0021,North,51,38
P0021,East,27,23
P0022,West,186,10
P0022,South,228,25
P0022,North,242,30
P0022,East,170,23
P0023,West,181,26
P0023,South,47,24
P0023,North,45,40
P0023,East,13,45
P0024,West,218,45
P0024,South,99,12
P0024,North,125,15
P0024,East,21,36
P0025,West,163,31
P0025,South,90,41
P0025,North,230,16
P0025,East,79,21
P0026,West,196,47
P0026,South,8,44
P0026,North,26,38
P0026,East,201,41
P0027,West,58,34
P0027,South,88,47
P0027,North,106,13
P0027,East,245,32
P0028,West,69,19
P0028,South,222,22
P0028,North,187,14
P0028,East,130,13
P0029,West,22,39
P0029,South,17,46
P0029,North,4,44
P0029,East,165,37
P0030,West,71,27
P0030,South,157,21
P0030,North,5,31
P0030,East,199,39
P0031,West,222,38
P0031,South,138,14
P0031,North,76,26
P0031,East,94,29
P0032,West,91,35
P0032,South,111,34
P0032,North,236,27
