Order_ID,Order_Date,Customer_ID,Product_ID,Region,Quantity,Discount,Product_Name,Category,Sub_Category,Unit_Cost,Unit_Price,Sales,Cost,Profit
O000001,2025-09-12,C0649,P0032,East,4,0.0,Classic Mobile 32,Electronics,Mobiles,39140.16,48337.53,193350.12,156560.64,36789.47999999998
O000002,2025-04-13,C0355,P0029,West,1,0.02,Plus Outdoor 29,Sports,Outdoor,5356.58,6584.1,6452.418000000001,5356.58,1095.8380000000006
O000003,2025-01-14,C0916,P0063,East,5,0.02,Smart Accessorie 63,Electronics,Accessories,1280.37,1532.68,7510.1320000000005,6401.849999999999,1108.282000000001
O000004,2025-11-03,C0211,P0006,East,8,0.05,Pro Storage 6,Furniture,Storage,5485.98,6595.86,50128.53599999999,43887.84,6240.695999999996
O000005,2026-07-23,C0658,P0090,North,2,0.0,Eco Sportswear 90,Sports,Sportswear,3174.68,3987.83,7975.66,6349.36,1626.3000000000002
O000006,2025-08-10,C0596,P0027,West,4,0.05,Plus Small Appliance 27,Home Appliances,Small Appliances,4878.86,5850.57,22232.165999999997,19515.44,2716.7259999999987
O000007,2026-02-24,C0030,P0099,East,3,0.1,Max Writing 99,Office Supplies,Writing,473.09,624.06,1684.962,1419.27,265.692
O000008,2026-02-19,C1000,P0028,North,4,0.0,Plus Fitnes 28,Sports,Fitness,1985.72,2257.92,9031.68,7942.88,1088.8000000000002
O000009,2025-06-24,C0577,P0005,East,5,0.05,Pro Table 5,Furniture,Tables,3602.57,4470.07,21232.832499999997,18012.850000000002,3219.9824999999946
O000010,2026-02-18,C0024,P0041,South,2,0.05,Classic Cleaning 41,Home Appliances,Cleaning,733.55,998.36,1896.884,1467.1,429.7840000000001
O000011,2025-05-30,C0984,P0056,East,3,0.0,Premium Cleaning 56,Home Appliances,Cleaning,1756.12,1989.94,5969.82,5268.36,701.46
O000012,2025-03-29,C0943,P0054,South,2,0.0,Premium Writing 54,Office Supplies,Writing,172.43,204.75,409.5,344.86,64.63999999999999
O000013,2026-03-18,C0723,P0080,South,2,0.0,Eco Table 80,Furniture,Tables,9055.43,10418.21,20836.42,18110.86,2725.5599999999977
O000014,2025-03-23,C0222,P0018,East,1,0.0,Plus Accessorie 18,Electronics,Accessories,2929.21,3911.69,3911.69,2929.21,982.48
O000015,2026-08-19,C0602,P0077,South,2,0.1,Eco Mobile 77,Electronics,Mobiles,37687.31,43013.51,77424.318,75374.62,2049.698000000004
O000016,2025-05-10,C0618,P0043,South,1,0.02,Classic Fitnes 43,Sports,Fitness,572.65,769.11,753.7278,572.65,181.07780000000002
O000017,2026-01-18,C0684,P0089,North,2,0.1,Eco Outdoor 89,Sports,Outdoor,1036.29,1187.47,2137.446,2072.58,64.86599999999999
O000018,2025-10-03,C0742,P0074,East,1,0.0,Smart Outdoor 74,Sports,Outdoor,4805.97,5559.01,5559.01,4805.97,753.04
O000019,2025-04-01,C0925,P0029,West,1,0.2,Plus Outdoor 29,Sports,Outdoor,5356.58,6584.1,5267.280000000001,5356.58,-89.29999999999927
O000020,2025-01-21,C0589,P0010,South,3,0.0,Pro Kitchen 10,Home Appliances,Kitchen,5771.72,7805.3,23415.9,17315.16,6100.740000000002
O000021,2026-02-03,C0580,P0006,North,2,0.0,Pro Storage 6,Furniture,Storage,5485.98,6595.86,13191.72,10971.96,2219.76
O000022,2026-05-14,C0877,P0080,North,1,0.1,Eco Table 80,Furniture,Tables,9055.43,10418.21,9376.389,9055.43,320.9589999999989
O000023,2026-06-01,C0401,P0089,South,3,0.05,Eco Outdoor 89,Sports,Outdoor,1036.29,1187.47,3384.2895,3108.87,275.41949999999997
O000024,2025-11-14,C0865,P0004,East,2,0.05,Pro Chair 4,Furniture,Chairs,4053.96,5422.13,10302.047,8107.92,2194.1270000000004
O000025,2026-04-28,C0901,P0034,South,2,0.0,Classic Chair 34,Furniture,Chairs,6770.92,8182.94,16365.88,13541.84,2824.039999999999
O000026,2026-03-03,C0604,P0083,North,4,0.0,Eco Paper 83,Office Supplies,Paper,674.11,927.67,3710.68,2696.44,1014.2399999999998
O000027,2026-03-31,C0512,P0033,East,3,0.1,Classic Accessorie 33,Electronics,Accessories,4046.89,5294.55,14295.285000000002,12140.67,2154.6150000000016
O000028,2025-11-20,C0088,P0004,North,1,0.1,Pro Chair 4,Furniture,Chairs,4053.96,5422.13,4879.917,4053.96,825.9570000000003
O000029,2026-02-09,C0465,P0044,East,1,0.0,Classic Outdoor 44,Sports,Outdoor,4467.6,6103.44,6103.44,4467.6,1635.8399999999992
O000030,2026-05-13,C0050,P0098,East,3,0.05,Max Paper 98,Office Supplies,Paper,236.6,319.72,911.202,709.8,201.40200000000004
O000031,2025-09-25,C0103,P0076,East,1,0.1,Eco Laptop 76,Electronics,Laptops,37038.26,47803.81,43023.429,37038.26,5985.168999999994
O000032,2026-05-13,C0368,P0031,North,10,0.0,Classic Laptop 31,Electronics,Laptops,69933.07,80697.89,806978.9,699330.7000000001,107648.19999999995
O000033,2026-01-17,C0936,P0080,South,6,0.05,Eco Table 80,Furniture,Tables,9055.43,10418.21,59383.79699999999,54332.58,5051.21699999999
O000034,2025-04-29,C0492,P0066,West,8,0.0,Smart Storage 66,Furniture,Storage,5781.02,6663.48,53307.84,46248.16,7059.679999999993
O000035,2025-01-19,C0558,P0058,South,5,0.0,Premium Fitnes 58,Sports,Fitness,2598.09,3134.13,15670.650000000001,12990.45,2680.2000000000007
O000036,2025-09-03,C0691,P0060,South,6,0.05,Premium Sportswear 60,Sports,Sportswear,3891.8,5094.98,29041.385999999995,23350.800000000003,5690.585999999992
